
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:25:48 /js/pwa.js .......................................................................... ~ 50.35ms
  2026-04-04 16:25:48 /sw.js ............................................................................... ~ 0.26ms
  2026-04-04 16:25:48 / .................................................................................. ~ 507.63ms
  2026-04-04 16:25:48 /offline ........................................................................... ~ 548.84ms
  2026-04-04 16:25:48 /css/app.css ........................................................................ ~ 35.64ms
  2026-04-04 16:25:48 /manifest.json ...................................................................... ~ 34.70ms
  2026-04-04 16:25:48 /internal/reports/shipments ........................................................ ~ 570.50ms
  2026-04-04 16:25:48 /css/app.css ....................................................................... ~ 591.41ms
  2026-04-04 16:25:49 /images/logo-sidebar.png ............................................................ ~ 31.20ms
  2026-04-04 16:25:49 /js/pwa.js .......................................................................... ~ 53.78ms
  2026-04-04 16:25:49 /sw.js ............................................................................... ~ 0.32ms
  2026-04-04 16:25:49 / .................................................................................... ~ 0.22ms
  2026-04-04 16:25:49 /offline ............................................................................ ~ 41.00ms
  2026-04-04 16:25:49 /css/app.css ........................................................................ ~ 31.84ms
  2026-04-04 16:25:49 /internal/reports .................................................................. ~ 540.54ms
  2026-04-04 16:25:49 /css/app.css ....................................................................... ~ 566.66ms
  2026-04-04 16:25:49 /images/logo-sidebar.png ........................................................... ~ 594.14ms
  2026-04-04 16:25:50 /js/pwa.js .......................................................................... ~ 47.77ms
  2026-04-04 16:25:50 /sw.js ............................................................................... ~ 0.25ms
  2026-04-04 16:25:50 / .................................................................................. ~ 508.45ms
  2026-04-04 16:25:50 /offline ........................................................................... ~ 548.23ms
  2026-04-04 16:25:50 /css/app.css ........................................................................ ~ 33.73ms
  2026-04-04 16:25:50 /internal/reports/kyc .............................................................. ~ 541.84ms
  2026-04-04 16:25:50 /css/app.css ....................................................................... ~ 563.38ms
  2026-04-04 16:25:50 /images/logo-sidebar.png ........................................................... ~ 590.86ms
  2026-04-04 16:25:51 /js/pwa.js .......................................................................... ~ 49.58ms
  2026-04-04 16:25:51 /sw.js ............................................................................... ~ 0.19ms
  2026-04-04 16:25:51 / .................................................................................... ~ 0.30ms
  2026-04-04 16:25:51 /offline ........................................................................... ~ 546.15ms
  2026-04-04 16:25:51 /css/app.css ....................................................................... ~ 542.59ms
  2026-04-04 16:25:51 /internal/reports .................................................................. ~ 546.77ms
  2026-04-04 16:25:51 /css/app.css ....................................................................... ~ 572.43ms
  2026-04-04 16:25:51 /images/logo-sidebar.png ........................................................... ~ 602.34ms
  2026-04-04 16:25:52 /js/pwa.js .......................................................................... ~ 50.72ms
  2026-04-04 16:25:52 /sw.js ............................................................................... ~ 0.38ms
  2026-04-04 16:25:52 / .................................................................................... ~ 0.38ms
  2026-04-04 16:25:52 /offline ............................................................................ ~ 39.64ms
  2026-04-04 16:25:52 /css/app.css ........................................................................ ~ 31.20ms
  2026-04-04 16:25:52 /internal/reports/tickets .......................................................... ~ 532.04ms
